id,"manufacturer_accrual","category","plan_name","details",company_id,"company_name","expiration",participation_percentage,"external_id","created_at","updated_at"
11,"10%","Apparel and Accessories - Men","","Corporate Address
P.O. Box 657
200 West Academy St.
Madison, NC 27025
Fax: (336) 427-7105
Toll Free: (800) 334-5101
programs matching search criteria   other programsPlan 1 - Retailer
Type
Retailer
Products
leather & elastic belts, wallets, suspenders
Trademarks
Bill Blass; Danbury; Ruff Hewn
Timing
Program: Seasonal
Accrual: Jan. 01 - May. 31; Jun. 01 - Dec. 31
Advertising: Jan. 01 - May. 31; Jun. 01 - Dec. 31
Claim: Within 60 days of ad run
Accrual
10%
Participation
Manufacturer: 50%
Dealer: 50%
Eligible Media
NewspaperRadioWeekly Newspaper
Advertising Aids
Print elements
Reimbursement Method
Credit memo
Claim Documentation
-All Media: paid media invoice-Newspaper: full page tearsheet-Radio: script; station affidavit-Weekly Newspaper: full page tearsheet
Claim Address
P.O. Box 657
200 West Academy St.
Madison, NC 27025",11,"Gem-Dandy, Inc.","12/31",50,"1138-1","2009-05-18 17:46:32","2009-05-18 17:48:09"
12,"2%","Building Materials","","Corporate Address
4100 Sixth Ave.
Altoona, PA 16602
Fax: (814) 944-8094
Phone: (814) 941-1686
programs matching search criteria   other programsPlan 1 - Retailer
Type
Retailer
Products
tin lead solder, cements, pastes, indium alloys, fluxes and chemicals
Trademarks
Alpha Fry; Alpha Metals; EZ Weld; Fry
Timing
Program: Calendar year
Accrual: Calendar year
Advertising: Calendar year
Claim: Within 60 days of ad run
Accrual
2%
Participation
Manufacturer: 50%
Dealer: 50%
May Include: Space or Time Only
Eligible Media
CircularNewspaperRadioTV
Advertising Specifications
-Products must be illustrated.-Manufacturer's logo required.-Trademark name required.-Not misleading.-Product description.
Media Requirements
-All Media: A limit of 75 col. inches/year or its equivalent cost in other media.-Newspaper: 2nd-class mailing permit; audited circulation; broad general interest; serving retailer's primary trading area-Radio: prior approval required-TV: prior approval required
Advertising Aids
Camera-ready ads; Print elements
Reimbursement Method
Credit memo
Claim Documentation
-All Media: paid media invoice-Circular: affidavit of distribution; complete copy of piece; paid printer's invoice-Newspaper: full page tearsheet-Radio: ANA/RAB * electronic tearsheet; script-TV: ANA/TvB * electronic tearsheet; script
Claim Address
4100 Sixth Ave.
Altoona, PA 16602",13,"Fry Technology","12/31",50,"1099-1","2009-05-18 17:46:32","2009-05-18 17:48:09"
13,"2.5%","Home Furnishings, Upholstery and Draperies","","Corporate Address
16121 S. Carmenita Rd.
Cerritos, CA 90703
Fax: (562) 926-1015
programs matching search criteria   other programsPlan 1 - Retailer
Type
Retailer
Products
lighting fixtures
Trademarks
Fredrick Ramond
Timing
Program: Calendar year
Accrual: Previous calendar year
Advertising: Calendar year
Claim: Within 60 days of ad run
Accrual
2.5%
Participation
Manufacturer: 50%
Dealer: 50%
lowest earned rate
May Include: Space or Time Only
Eligible Media
Direct MailMagazineNewspaperNewspaper InsertRadioTVWeekly Newspaperspecial event
Advertising Placement
Spots Only
Advertising Specifications
-No competing products.-Prior approval required for advertising material not supplied by manufacturer.-Manufacturer's logo required.-Trademark name required.-Trademark name must be prominent.-Slogan required.-Not misleading.-Logo prominent.
Media Requirements
-Magazine: prior approval required-Newspaper: 2nd-class mailing permit; audited circulation; audited rates; paid circulation; serving retailer's primary trading area-Newspaper Insert: 2nd-class mailing permit; audited circulation; audited rates; paid circulation; serving retailer's primary trading area-Radio: prior approval required-TV: prior approval required-Weekly Newspaper: 2nd-class mailing permit; audited circulation; audited rates; paid circulation; serving retailer's primary trading area
Advertising Aids
Print elements
Reimbursement Method
Credit memo
Current accounts only.
Claim Documentation
-All Media: paid media invoice-Circular: complete copy of piece-Direct Mail: complete copy of piece; paid printer's invoice-Flyer: complete copy of piece-Newspaper: full page tearsheet-Newspaper Insert: full page tearsheet-Radio: ANA/RAB * electronic tearsheet; debit memo or invoice from advertiser; local media rate card; script-TV: ANA/TvB * electronic tearsheet; local media rate card; script-Weekly Newspaper: full page tearsheet
Claim Address
16121 S. Carmenita Rd.
Cerritos, CA 90703",12,"Fredrick Ramond, Inc.","12/31",50,"1088-1","2009-05-18 17:46:32","2009-05-18 17:48:09"
14,"3%","Housewares and Household Supplies","","Corporate Address
P.O. Box 4059
Longview, TX 75606
Fax: (903) 297-2255
programs matching search criteria   other programsPlan 1 - Retailer
Type
Retailer
Special Instructions
Contact mfr. for adv. aids.
Products
airtight food storage containers
Trademarks
Farberware ; Lamarle; Monterrey
Timing
Program: Calendar year
Accrual
3%
Participation
Manufacturer: 100%
Reimbursement Method
Check
Claim Address
P.O. Box 4059
Longview, TX 75606",14,"Frye Intl. Corp.","12/31",100,"1100-1","2009-05-18 17:46:32","2009-05-18 17:48:09"
15,"See Full Citation","Computers","Distributor Co-op/MDF Program - Fujitsu Funds","Corporate Address
1255 E. Arques Ave.
Sunnyvale, CA 94085-4701
Fax: (408) 894-3606
Phone: (408) 746-7000
Toll Free: (800) 626-4680
programs matching search criteria   other programsPlan 1 - Wholesaler
Name
Distributor Co-op/MDF Program - Fujitsu Funds
Type
Wholesaler
Products
hard disk drives; optical & tape drives; printer supplies; scanners
Trademarks
DynaMo; No Excuses; Scan Partner
Participation
Manufacturer: 100%
May Include: Space or Time Only
Advertising Specifications
-All advertising requires prior approval.-Products must be illustrated.-Manufacturer's logo required.-Not misleading.-Model number.-Logo prominent.
Media Requirements
-All Media: prior approval required-Direct Mail: serving retailer's primary trading area-Flyer: serving retailer's primary trading area
Reimbursement Method
Credit memo
Claim Documentation
-All Media: full page tearsheet; paid media invoice; prior approval documentation-Catalog: affidavit of distribution; paid printer's invoice; postal receipt; proof of performance-Demonstrator: proof of performance-Direct Mail: paid printer's invoice; postal receipt; proof of performance-Exhibit: photo; proof of performance-Flyer: paid printer's invoice; postal receipt; proof of performance-Radio: ANA/RAB * electronic tearsheet; script-Specialty Item: proof of performance-Statement Stuffer: paid printer's invoice; postal receipt; proof of performance
Claim Address
Advertising Checking Bureau
P.O. Box 52118
Phoenix, AZ 85072",15,"Fujitsu Computer Products of America, Inc.","12/31",100,"1101-1","2009-05-18 17:46:32","2009-05-18 17:48:09"
16,"See Full Citation","Housewares and Household Supplies","","Corporate Address
P.O. Box 729
Great Bend, KS 67530-0729
Fax: (620) 792-1906
programs matching search criteria   other programsPlan 1 - Retailer
Type
Retailer
Products
household items
Trademarks
Fuller Brush
Timing
Program: Ongoing
Participation
Manufacturer: 50%
Dealer: 50%
Eligible Media
BrochureCatalogFlyer
Claim Address
Fuller Brush Co.
One Fuller Way
Great Bend, KS 67530",17,"Fuller Brush Company","12/31",50,"1102-1","2009-05-18 17:46:32","2009-05-18 17:48:09"
17,"5%","Hardware","","Corporate Address
6550 Lawrence Ave. E.
Toronto, ON M1C 4A7
Canada
Phone: (416) 282-1107
Fax: (416) 282-8150
programs matching search criteria   other programsPlan 1 - Retailer/WholesalerPlan 2 - Retailer
Type
Retailer/Wholesaler
Products
adhesives, natural household cleaners, restoration items, craft products, laundry & personal care
Trademarks
Nature Clean; Tile Works; Weldbond; Weldbond Professional; Weldbond Universal Adhesive
Timing
Program: Calendar year
Accrual: Calendar year
Advertising: Calendar year
Claim: Within 30 days of ad run
Accrual
5%
Participation
Manufacturer: 100%
vendor rate
Eligible Media
CatalogCircularClassified Display AdsDirect MailFlyerMagazineNewspaperNewspaper InsertOutdoorRadioShopperStatement StufferTVTrade MagazineWeekly NewspaperYellow Pages
Advertising Placement
Display Ads Only
Advertising Specifications
-All of manufacturer's products may be advertised.-Only regular, first-line merchandise qualifies.-No competing products.-All advertising requires prior approval.-Only advertising material supplied by manufacturer may be used.-Products must be illustrated.-Manufacturer's logo required.-Trademark name required.-Not misleading.-Product description.
Media Requirements
-Newspaper: prior approval required-Radio: prior approval required-TV: prior approval required
Advertising Aids
Camera-ready ads; Print elements
Reimbursement Method
Credit memo
Claim Documentation
-Circular: full page tearsheet; paid media invoice-Flyer: full page tearsheet; paid media invoice-Newspaper: full page tearsheet; paid media invoice-Radio: paid media invoice; script; station affidavit-TV: paid media invoice; script; station affidavit-Weekly Newspaper: full page tearsheet; paid media invoice
Claim Address
6550 Lawrence Ave. E.
Toronto, ON M1C 4A7
Canada",16,"Frank T. Ross & Sons Inc.","12/31",100,"1081-1","2009-05-18 17:46:32","2009-05-18 17:48:09"
18,"2%","Home Furnishings, Upholstery and Draperies","","Corporate Address
400 E. Orangethorp Ave.
Anaheim, CA 92801
Fax: (714) 449-2222
programs matching search criteria   other programsPlan 1 - Retailer/Wholesaler
Type
Retailer/Wholesaler
Special Instructions
Registration is required to be part of co-op program.  Contact mfr. for details.
Products
cultured marble vanity tops; light bars; medicine cabinets; solid surface tops; toilet toppers; vanity cabinets
Trademarks
American Classics; General Marble
Timing
Program: Calendar year
Accrual: Calendar year
Advertising: Calendar year
Claim: Within 60 days of ad run
Seasonal
Different promotions throughout the year
Accrual
2%
Participation
Manufacturer: 50%
Dealer: 50%
Minimum: $50.00 per claim
May Include: Production Charges; All Costs of Advertising; Space or Time Only
Eligible Media
CatalogCircularDirect MailInternetMagazineNewspaperNewspaper InsertShopperWeekly Newspaper
Advertising Specifications
-No competing products.-All advertising requires prior approval.-Products must be illustrated.-Manufacturer's logo required.-Price must be listed.-Not misleading.-Model number.-Store name and address.
Advertising Aids
Camera-ready ads; Print elements
Reimbursement Method
Credit memo
Claim Documentation
-All Media: paid media invoice-Catalog: affidavit of distribution; complete copy of piece; paid printer's invoice-Circular: affidavit of distribution; complete copy of piece; paid printer's invoice-Direct Mail: affidavit of distribution; complete copy of piece; paid printer's invoice-Magazine: complete copy of piece-Newspaper: full page tearsheet-Newspaper Insert: complete copy of piece-Shopper: affidavit of distribution; complete copy of piece; paid printer's invoice-Weekly Newspaper: full page tearsheet
Claim Address
Attn: Customer Services Dept.
RSI Home Products
400 E. Orangethorp Ave.
Anaheim",20,"RSI","12/31",50,"1144-1","2009-05-18 17:46:32","2009-05-18 17:48:10"
19,"3%","Home Furnishings, Upholstery and Draperies","","Corporate Address
P.O Box 263
1720 Industrial Ave.
Norco, CA 92860
Fax: (909) 340-3359
programs matching search criteria   other programsPlan 1
Products
oak bathroom furniture & accessories
Trademarks
Gaylan
Timing
Program: Ongoing
Accrual
3%
Participation
Manufacturer: 50%
Dealer: 50%
Eligible Media
FlyerNewspaper
Claim Address
P.O Box 263
1720 Industrial Ave.
Norco, CA 92860",19,"Gaylan USA","",50,"1133-1","2009-05-18 17:46:32","2009-05-18 17:48:10"
20,"See Full Citation","Publications and Electronic Media","Reseller Co-op Plan","Corporate Address
One Franklin Plaza
Burlington, NJ 08016-4908
programs matching search criteria   other programsPlan 1 - Reseller
Name
Reseller Co-op Plan
Type
Reseller
Special Instructions
All co-op approved on an ad-by-ad basis. Contact sales office for details.
Products
electronic reference products
Trademarks
Electronic Encyclopedia
Timing
Program: Ongoing
Participation
Manufacturer: 100%
Eligible Media
CatalogInternet
Advertising Specifications
-All advertising requires prior approval.-Only advertising material supplied by manufacturer may be used.
Advertising Aids
Camera-ready ads; Print elements
Claim Address
One Franklin Plaza
Burlington, NJ 08016-4908",18,"Franklin Electronic Publishers, Inc.","",100,"1083-1","2009-05-18 17:46:32","2009-05-18 17:48:10"
21,"See Full Citation","Transportation and Travel","Travel Agents Co-op Plan","Corporate Address
P.O. Box 1460
8907 N. Port Washington Rd.
Milwaukee, WI 53217-1460
Fax: (414) 351-5256
Toll Free: (800) 558-3060
programs matching search criteria   other programsPlan 1 - Travel Agents
Name
Travel Agents Co-op Plan
Type
Travel Agents
Products
travel agent
Trademarks
Funjet Vacations
Timing
Program: Calendar year
Accrual: Previous calendar year
Advertising: Calendar year
Claim: Within 45 days of ad run
Participation
Manufacturer: 50%
Dealer: 50%
Eligible Media
Cable TVFlyerMisc. promotional itemsNewspaperOutdoorRadioTVWeekly Newspaper
Advertising Specifications
-Manufacturer's products only; no omnibus ads.-No competing products.-All advertising requires prior approval.-Only advertising material supplied by manufacturer may be used.
Media Requirements
-All Media: prior approval required-Newspaper: serving retailer's primary trading area-Weekly Newspaper: paid circulation
Advertising Aids
Camera-ready ads; Print elements; Radio elements
Reimbursement Method
Check; Credit memo
Claim Documentation
-All Media: paid media invoice-Flyer: complete copy of piece-Newspaper: full page tearsheet-Outdoor: photo-Radio: script; station affidavit-TV: script; station affidavit-Weekly Newspaper: full page tearsheet
Claim Address
P.O. Box 1460
8907 N. Port Washington Rd.
Milwaukee, WI 53217-1460",22,"Funjet Vacations Inc.","12/31",50,"1105-1","2009-05-18 17:46:32","2009-05-18 17:48:10"
22,"See Full Citation","Food and Beverages","","Corporate Address
7701 Legacy Dr.
Plano, TX 75024-4099
Fax: (972) 376-7351
programs matching search criteria   other programsPlan 1 - Retailer
Type
Retailer
Special Instructions
Local Frito-Lay rep coordinates all programs
Products
food items
Trademarks
Baken-ets; Cheese Chooser's Pack; Cheetos; Crunch Taters; Delta Gold; Doritos; Funyuns; Grab Bags; Grab-A-Snack; Lay's; O'Gradys; Rold Gold; Ruffles; Santitas; Sunchips; Tostitos
Timing
Program: Calendar year
Accrual: Calendar year
Advertising: Calendar year
Claim: Within 60 days of ad run
Participation
Manufacturer: 100%
Eligible Media
CircularDirect MailFlyerNewspaperNewspaper InsertRadioShopperTVwindow banners; in-store circulars; coupon books; rotos
Advertising Specifications
-Trademark name required.-Registry symbol required.-Price must be listed.-Product description.
Media Requirements
-Circular: minimum size is 4 square inches.; serving retailer's primary trading area-Newspaper: audited circulation; audited rates; serving retailer's primary trading area-Radio: FCC license-Shopper: prior approval required-TV: at least 6 seconds devoted to Frito-Lay.  Other requirements in Frito Lay guidelines.
Reimbursement Method
Check
Claim Documentation
-All Media: manufacturer's claim form-Circular: complete copy of piece; paid printer's invoice; postal receipt-Flyer: complete copy of piece; paid media invoice-Newspaper: full page tearsheet; paid media invoice-Newspaper Insert: complete copy of piece; paid media invoice; paid printer's invoice-Radio: ANA/RAB * electronic tearsheet; paid media invoice; script; station affidavit-Shopper: Window banners: Certified store list with display dates; complete copy of piece; paid media invoice; paid printer's invoice-TV: ANA/TvB * electronic tearsheet; paid media invoice; script; station affidavit
Claim Address
Send claim to manufacturer's local representative.",21,"Frito-Lay, Inc.","12/31",100,"1095-1","2009-05-18 17:46:32","2009-05-18 17:48:10"
23,"See Full Citation","Paints and Wallcoverings","","Corporate Address
950 Raymur Ave.
Vancouver, BC V6A 3L5
Canada
programs matching search criteria   other programsPlan 1 - Retailer/Wholesaler
Eligible Media
Classified Display AdsFlyerMagazineYellow Pages
Reimbursement Method
Credit memo
Claim Address
950 Raymur Ave.
Vancouver, BC V6A 3L5
Canada",25,"General Paint Limited","",50,"1146-1","2009-05-18 17:46:32","2009-05-18 17:48:10"
24,"5%","Electronics","","Corporate Address
1801 Morgan St.
Rockford, IL 61102-2690
Fax: (815) 968-9731
programs matching search criteria   other programsPlan 1 - Retailer
Type
Retailer
Products
adaptors & hook-up accessories; chemicals; connectors; electronic hand tools; electronic wires; switches
Trademarks
Airjet; Big Bath; Epitome; GC Bond; GC Electronics; GC Professional; GC Tool; Jif-Action; SpraLube
Timing
Program: Calendar year
Accrual: Previous calendar year
Advertising: Calendar year
Claim: Within 60 days of ad run
Accrual
5%
Participation
Manufacturer: 50%
Dealer: 50%
lowest earned rate
Eligible Media
CircularDirect MailMagazineNewspaperP.O.PRadioTVWeekly Newspaper
Advertising Specifications
-All advertising requires prior approval.-Products must be illustrated.-Manufacturer's logo required.-Trademark name required.
Media Requirements
-Newspaper: serving retailer's primary trading area-Weekly Newspaper: paid circulation
Reimbursement Method
Check; Credit memo
Claim Documentation
-All Media: manufacturer's claim form; paid media invoice-Direct Mail: affidavit of distribution; complete copy of piece; paid printer's invoice; postal receipt-Magazine: affidavit of distribution; complete copy of piece; paid printer's invoice; postal receipt-Newspaper: full page tearsheet-Radio: script-TV: script-Weekly Newspaper: full page tearsheet
Claim Address
1801 Morgan St.
Rockford, IL 61102-2690",24,"GC/Waldom","12/31",50,"1135-1","2009-05-18 17:46:32","2009-05-18 17:48:10"
