"id","external_id","details","city","zip","website","street","state","email","created_at","updated_at","phone_1","phone_type_1","phone_2","phone_type_2","phone_3","phone_type_3","phone_4","phone_type_4","phone_5","phone_type_5","phone_6","phone_type_6","phone_7","phone_type_7","phone_8","phone_type_8","company_name"
11,"1138","P.O. Box 657
200 West Academy St.
Madison, NC 27025
Fax: (336) 427-7105
Toll Free: (800) 334-5101
Website: www.gem-dandy.com
Personnel
Program Contact
Ron Boyer (Pres.)
Phone: (336) 548-9624
 
Dona Shaffer (Mktg. & Sls.)","Madison","27025","www.gem-dandy.com","P.O. Box 657
||200 West Academy St.","NC","","2009-05-18 17:46:32","2009-05-18 17:48:09","(336) 427-7105","Fax","(800) 334-5101","Toll Free",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Gem-Dandy, Inc."
12,"1088","16121 S. Carmenita Rd.
Cerritos, CA 90703
Fax: (562) 926-1015
Personnel
Program Contact
Dave  DeLuna  (Mgr.-Co-op Adv.)
Phone: (562) 926-1361","Cerritos","90703","","16121 S. Carmenita Rd.
||Personnel
||Program Contact
||Dave  DeLuna  (Mgr.-Co-op Adv.)
||","CA","","2009-05-18 17:46:32","2009-05-18 17:48:09","(562) 926-1015","Fax","(562) 926-1361","Phone",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fredrick Ramond, Inc."
13,"1099","4100 Sixth Ave.
Altoona, PA 16602
Fax: (814) 944-8094
Phone: (814) 941-1686
Website: www.frytechnology.com
Personnel
Program Contact
Dave  Comer
Phone: (814) 946-1611
 
Bill Kech (V.P. Sales & Mktg.)","Altoona","16602","www.frytechnology.com","4100 Sixth Ave.","PA","","2009-05-18 17:46:33","2009-05-18 17:48:09","(814) 944-8094","Fax","(814) 941-1686","Phone",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fry Technology"
14,"1100","P.O. Box 4059
Longview, TX 75606
Fax: (903) 297-2255
Personnel
Program Contact
Bud Frye (Pres.)
Phone: (903) 297-9200","Longview","75606","","P.O. Box 4059
||Personnel
||Program Contact
||Bud Frye (Pres.)
||","TX","","2009-05-18 17:46:33","2009-05-18 17:48:09","(903) 297-2255","Fax","(903) 297-9200","Phone",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Frye Intl. Corp."
15,"1101","1255 E. Arques Ave.
Sunnyvale, CA 94085-4701
Fax: (408) 894-3606
Phone: (408) 746-7000
Toll Free: (800) 626-4680
Personnel
Program Contact
Jane Lhermine","Sunnyvale","94085-4701","","1255 E. Arques Ave.
||Personnel
||Program Contact
||Jane Lhermine
||","CA","","2009-05-18 17:46:33","2009-05-18 17:48:09","(408) 894-3606","Fax","(408) 746-7000","Phone","(800) 626-4680","Toll Free",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fujitsu Computer Products of America, Inc."
16,"1081","6550 Lawrence Ave. E.
Toronto, ON M1C 4A7
Canada
Phone: (416) 282-1107
Fax: (416) 282-8150
Email: info@franktross.com
Website: www.franktross.com
Personnel
Program Contact
Blake T. Ross (Pres.)
Phone: (416) 282-1107
Email: blake@franktross.com
 
Peter Calvert (V.P. Sls./USA)
Email: petercalvert@comcast.net
 
Bernie Ross (C.E.O.)
Phone: (416) 282-1107
Email: bernie@franktross.com","Toronto","M1C 4A7","www.franktross.com","6550 Lawrence Ave. E.
||Canada","ON","info@franktross.com","2009-05-18 17:46:33","2009-05-18 17:48:10","(416) 282-1107","Phone","(416) 282-8150","Fax",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Frank T. Ross & Sons Inc."
17,"1102","P.O. Box 729
Great Bend, KS 67530-0729
Fax: (620) 792-1906
Personnel
Program Contact
Ron Goetz (Consumer Prods. Admin.)
Phone: (620) 792-1711","Great Bend","67530-0729","","P.O. Box 729
||Personnel
||Program Contact
||Ron Goetz (Consumer Prods. Admin.)
||","KS","","2009-05-18 17:46:33","2009-05-18 17:48:09","(620) 792-1906","Fax","(620) 792-1711","Phone",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fuller Brush Company"
18,"1083","One Franklin Plaza
Burlington, NJ 08016-4908
Website: www.franklin.com
Personnel
Program Contact
John Applegate
Phone: (609) 386-2500","Burlington","08016-4908","www.franklin.com","One Franklin Plaza","NJ","","2009-05-18 17:46:33","2009-05-18 17:48:10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Franklin Electronic Publishers, Inc."
19,"1133","P.O Box 263
1720 Industrial Ave.
Norco, CA 92860
Fax: (909) 340-3359
Personnel
Program Contact
Richard Wood (Chief Exec. Officer)
Phone: (909) 340-9494","Norco","92860","","P.O Box 263
||1720 Industrial Ave.
||Personnel
||Program Contact
||Richard Wood (Chief Exec. Officer)
||","CA","","2009-05-18 17:46:33","2009-05-18 17:48:10","(909) 340-3359","Fax","(909) 340-9494","Phone",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Gaylan USA"
20,"1144","400 E. Orangethorp Ave.
Anaheim, CA 92801
Fax: (714) 449-2222
Personnel
Program Contact
Chris Kelly (Mktg. Dept.)
Phone: (714) 449-2200 x2528
 
Jeannie Leon
Phone: (714) 449-2200","Anaheim","92801","","400 E. Orangethorp Ave.
||Personnel
||Program Contact
||Chris Kelly (Mktg. Dept.)
|| 
||Jeannie Leon
||","CA","","2009-05-18 17:46:33","2009-05-18 17:48:10","(714) 449-2222","Fax","(714) 449-2200 x2528","Phone","(714) 449-2200","Phone",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"RSI"
21,"1095","7701 Legacy Dr.
Plano, TX 75024-4099
Fax: (972) 376-7351
Personnel
Program Contact
Dave Phillips (Co-op Adv. Dept.)
Phone: (972) 334-7000","Plano","75024-4099","","7701 Legacy Dr.
||Personnel
||Program Contact
||Dave Phillips (Co-op Adv. Dept.)
||","TX","","2009-05-18 17:46:33","2009-05-18 17:48:10","(972) 376-7351","Fax","(972) 334-7000","Phone",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Frito-Lay, Inc."
22,"1105","P.O. Box 1460
8907 N. Port Washington Rd.
Milwaukee, WI 53217-1460
Fax: (414) 351-5256
Toll Free: (800) 558-3060
Personnel
Program Contact
Tina Dutllop (Sales & Oper.)
Phone: (414) 351-3553","Milwaukee","53217-1460","","P.O. Box 1460
||8907 N. Port Washington Rd.
||Personnel
||Program Contact
||Tina Dutllop (Sales & Oper.)
||","WI","","2009-05-18 17:46:33","2009-05-18 17:48:10","(414) 351-5256","Fax","(800) 558-3060","Toll Free","(414) 351-3553","Phone",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Funjet Vacations Inc."
23,"1069","50 Wireless Blvd.
Hauppauge, NY 11788
Fax: (631) 434-1183
Personnel
Program Contact
(Co-op Adv. Dept.)
Phone: (631) 434-1100","Hauppauge","11788","","50 Wireless Blvd.
||Personnel
||Program Contact
||(Co-op Adv. Dept.)
||","NY","","2009-05-18 17:46:33","2009-05-18 17:48:10","(631) 434-1183","Fax","(631) 434-1100","Phone",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Four Paws Products Ltd."
24,"1135","1801 Morgan St.
Rockford, IL 61102-2690
Fax: (815) 968-9731
Personnel
Program Contact
P. Hatzinger (Dir.-Mdsg.)
Phone: (815) 968-9661","Rockford","61102-2690","","1801 Morgan St.
||Personnel
||Program Contact
||P. Hatzinger (Dir.-Mdsg.)
||","IL","","2009-05-18 17:46:33","2009-05-18 17:48:10","(815) 968-9731","Fax","(815) 968-9661","Phone",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GC/Waldom"
25,"1146","950 Raymur Ave.
Vancouver, BC V6A 3L5
Canada
Personnel
Program Contact
David Stubbs (Co-op Mgr.)
Phone: (604) 253-3131
Fax: (604) 253-1169","Vancouver","V6A 3L5","","950 Raymur Ave.
||Canada
||Personnel
||Program Contact
||David Stubbs (Co-op Mgr.)
||","BC","","2009-05-18 17:46:33","2009-05-18 17:48:10","(604) 253-3131","Phone","(604) 253-1169","Fax",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"General Paint Limited"
26,"3124","P.O. Box 969
Hesston, KS 67062
Phone: (620) 327-6220
Fax: (620) 327-6327
Email: terrie.lock@agcocorp.com
Website: www.agcocorp.com
Personnel
Terrie Lock (Co-op Admin.)
Phone: (620) 327-6220","Hesston","67062","www.agcocorp.com","P.O. Box 969","KS","terrie.lock@agcocorp.com","2009-05-18 17:46:33","2009-05-18 17:48:10","(620) 327-6220","Phone","(620) 327-6327","Fax",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AGCO Marketing Services"
27,"3127","3960 Rosslyn Dr.
Cincinnati, OH 45209
Fax: (800) 309-9055
Personnel
Program Contact
Ginny Faught (Mgr.)
Phone: (513) 271-4594
Toll Free: (800) 888-0458","Cincinnati","45209","","3960 Rosslyn Dr.
||Personnel
||Program Contact
||Ginny Faught (Mgr.)
||","OH","","2009-05-18 17:46:33","2009-05-18 17:48:10","(800) 309-9055","Fax","(513) 271-4594","Phone","(800) 888-0458","Toll Free",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Airway"
28,"3138","3251 E. Imperial Hwy.
Brea, CA 92821-6795
Fax: (714) 970-6005
Personnel
Program Contact
Janel Visser
Phone: (714) 996-7040
Fax: (714) 524-8499","Brea","92821-6795","","3251 E. Imperial Hwy.
||Personnel
||Program Contact
||Janel Visser
||","CA","","2009-05-18 17:46:33","2009-05-18 17:48:10","(714) 970-6005","Fax","(714) 996-7040","Phone","(714) 524-8499","Fax",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"American Suzuki Motor Corp."
29,"3144","13809 S. Figueroa St.
Los Angeles, CA 90061
Fax: (310) 366-7605
Personnel
Program Contact
Darylla Flores (Acctg.)
Phone: (310) 538-4980 x222","Los Angeles","90061","","13809 S. Figueroa St.
||Personnel
||Program Contact
||Darylla Flores (Acctg.)
||","CA","","2009-05-18 17:46:33","2009-05-18 17:48:10","(310) 366-7605","Fax","(310) 538-4980 x222","Phone",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Apparel Ventures Inc."
30,"3130","19145 Gramercy Pl. Ste. 203
Torrance, CA 90501
Fax: (310) 212-0884
Toll Free: (800) ALPINE-1
Website: www.alpine-usa.com
Personnel
Program Contact
Wendy Yonamine (Supvr.-Sls. Admin.)
Phone: (310) 526-8000
 
Steve Witt (Sr. V.P.)","Torrance","90501","www.alpine-usa.com","19145 Gramercy Pl. Ste. 203
||Toll Free: (800) ALPINE-1","CA","","2009-05-18 17:46:33","2009-05-18 17:48:10","(310) 212-0884","Fax",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Alpine Electronics"
31,"3140","28100 Toreh Pkwy.
Warrenville, IL 60555
Personnel
Program Contact
(Mktg.)
Phone: (630) 836-5000","Warrenville","60555","","28100 Toreh Pkwy.
||Personnel
||Program Contact
||(Mktg.)
||","IL","","2009-05-18 17:46:33","2009-05-18 17:48:10","(630) 836-5000","Phone",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"BP plc"
32,"3136","P.O. Box 6820
Centennial Ave.
Piscataway, NJ 08855-6820
Fax: (732) 980-3335
Phone: (732) 980-3000
Toll Free: (800) 548-2667
Website: www.americanstandard-us.com
Personnel
Program/Ad Aid Contact
Andrea Liberto (Trade Mgr.)
Fax: (732) 980-3335
Phone: (732) 980-3000
Email: libertoa@amstd.com
Website: www.amstdmedia.com","Piscataway","08855-6820","www.americanstandard-us.com","P.O. Box 6820
||Centennial Ave.","NJ","","2009-05-18 17:46:33","2009-05-18 17:48:10","(732) 980-3335","Fax","(732) 980-3000","Phone","(800) 548-2667","Toll Free",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"American Standard, Inc."
33,"3132","P.O. Box 24359
Lyndhurst, OH 44124
Fax: (216) 791-8018
Phone: (216) 421-2116
Toll Free: (800) 899-7097
Website: www.aluminnu.com
Email: aluminnu@aol.com
Personnel
Program Contact
Howard Kaufman (Pres.)
Phone: (216) 421-2116
Toll Free: (800) 899-7097
Email: aluminnu@aol.com","Lyndhurst","44124","www.aluminnu.com","P.O. Box 24359","OH","","2009-05-18 17:46:33","2009-05-18 17:48:10","(216) 791-8018","Fax","(216) 421-2116","Phone","(800) 899-7097","Toll Free",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Alumin-Nu Corp."
34,"3143","1800 Renaissance Blvd.
Sturtevant, WI 53177
Fax: (262) 884-1100
Email: info@andis.com
Website: www.andis.com
Personnel
Amy Hearst (Contact)
Toll Free: (800) 558-9441","Sturtevant","53177","www.andis.com","1800 Renaissance Blvd.","WI","info@andis.com","2009-05-18 17:46:33","2009-05-18 17:48:10","(262) 884-1100","Fax",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Andis Company"
35,"3120","P.O. Box 1627
5380 Hwy. 145
Tupelo, MS 38802
Fax: (662) 566-3390
Personnel
Program Contact
Kim Oswalt (Coord.-Co-op Adv.)
Phone: (662) 566-7211 x3222","Tupelo","38802","","P.O. Box 1627
||5380 Hwy. 145
||Personnel
||Program Contact
||Kim Oswalt (Coord.-Co-op Adv.)
||","MS","","2009-05-18 17:46:33","2009-05-18 17:48:10","(662) 566-3390","Fax","(662) 566-7211 x3222","Phone",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Action Indus., Inc."
36,"3122","Attention :
75 Arlington St., Ste. 300
Boston, MA 02116
Fax: (617) 848-7628
Email: amanda.wall@pearson.com
Website: www.aw.com
Personnel
Program Contact
Scott Moden (Mgr.-Creative Svcs.)
Phone: (617) 848-7500","Boston","02116","www.aw.com","Attention :","MA","amanda.wall@pearson.com","2009-05-18 17:46:34","2009-05-18 17:48:10","(617) 848-7628","Fax",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Addison Wesley"
37,"3123","1450 E. Grant St.
Phoenix, AZ 85034
Fax: (602) 257-1349
Email: marketing@adobeair.com
Website: www.adobeair.com
Personnel
Program Contact
Dorman Olsten (Adv. Mgr.)
 
Yvette Jackson (Contact)","Phoenix","85034","www.adobeair.com","1450 E. Grant St.","AZ","marketing@adobeair.com","2009-05-18 17:46:34","2009-05-18 17:48:10","(602) 257-1349","Fax",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Adobe Air"
38,"3135","American Honda Co-op
4900 Marconi Dr.
Alpharetta, GA 30005-8847
Fax: (678) 339-2670
Phone: (310) 783-3180
Personnel
Rebeca Rickey (Sr. Adv.)
Phone: (678) 339-2562
 
Program Contact
Nancy Hammond (Co-op Mgr.)","Alpharetta","30005-8847","","American Honda Co-op
||4900 Marconi Dr.
||Personnel
||Rebeca Rickey (Sr. Adv.)
|| 
||Program Contact
||Nancy Hammond (Co-op Mgr.)
||","GA","","2009-05-18 17:46:34","2009-05-18 17:48:10","(678) 339-2670","Fax","(310) 783-3180","Phone","(678) 339-2562","Phone",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"American Honda Motor Company, Inc."
39,"3137","8201 Arrowridge Blvd.
Charlotte, NC 28273
Phone: (704) 529-4203
Toll Free: (888) 889-8518
Website: www.bonsalcoop.com
Personnel
Program Contact
Rickie Toomey (Co-op Adv. Coord.)","Charlotte","28273","www.bonsalcoop.com","8201 Arrowridge Blvd.","NC","","2009-05-18 17:46:34","2009-05-18 17:48:10","(704) 529-4203","Phone","(888) 889-8518","Toll Free",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bonsal American"
40,"2665","690 E. Lamar Blvd., Ste. 200
Arlington, TX 76011-3862
Fax: (817) 548-1144
Phone: (361) 293-2311
Personnel
Program Contact
Denise Woods (Co-op)
Phone: (817) 548-0090 x194","Arlington","76011-3862","","Personnel
||Program Contact
||Denise Woods (Co-op)
||","TX","","2009-05-18 17:46:34","2009-05-18 17:48:10","(817) 548-1144","Fax","(361) 293-2311","Phone","(817) 548-0090 x194","Phone",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tandy Brands Accessories"
41,"2676","3327 Pipeline Rd.
Cleburne, TX 76031
Fax: (817) 556-0694
Toll Free: (800) 527-0885 x112
Phone: (817) 645-6088
Personnel
Program Contact
Larry Easterlin (Dir.-Mktg.)
Phone: (817) 645-6088","Cleburne","76031","","3327 Pipeline Rd.
||Personnel
||Program Contact
||Larry Easterlin (Dir.-Mktg.)
||","TX","","2009-05-18 17:46:34","2009-05-18 17:48:10","(817) 556-0694","Fax","(800) 527-0885 x112","Toll Free","(817) 645-6088","Phone","(817) 645-6088","Phone",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TCC (Technical Chemical Co.)"
42,"2709","2000 W. Broad St.
Richmond, VA 23220
Personnel
Program Contact
Carolun Baugher
Phone: (804) 359-5786
 
Roger Clark","Richmond","23220","","2000 W. Broad St.
||Personnel
||Program Contact
||Carolun Baugher
|| 
||Roger Clark
||","VA","","2009-05-18 17:46:34","2009-05-18 17:48:10","(804) 359-5786","Phone",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"The C.F. Sauer & Company"
43,"2659","One T.F.H. Plaza
Third & Union Aves.
Neptune City, NJ 07753
Fax: (732) 988-5466
Personnel
Program Contact
Barry McDonough (Dir.-Sls. & Mktg.)
Phone: (732) 988-8400 x113","Neptune City","07753","","One T.F.H. Plaza
||Third & Union Aves.
||Personnel
||Program Contact
||Barry McDonough (Dir.-Sls. & Mktg.)
||","NJ","","2009-05-18 17:46:34","2009-05-18 17:48:10","(732) 988-5466","Fax","(732) 988-8400 x113","Phone",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"T.F.H. Publications, Inc."
44,"2692","P.O. Box 421403
Dallas, TX 75342-1403
Fax: (214) 747-6428
Personnel
Program Contact
Lee Warder (Pres.)
Phone: (214) 742-2685
Toll Free: (800) 433-6249","Dallas","75342-1403","","P.O. Box 421403
||Personnel
||Program Contact
||Lee Warder (Pres.)
||","TX","","2009-05-18 17:46:34","2009-05-18 17:48:10","(214) 747-6428","Fax","(214) 742-2685","Phone","(800) 433-6249","Toll Free",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tempo/Infiniti Lighting"
45,"2710","5975 Falbourne St.
Mississauga, ON L5R 3V8
Canada
Personnel
Program Contact
Rob Willmott (Mktg. Mgr.)
Phone: (905) 501-0090","Mississauga","L5R 3V8","","5975 Falbourne St.
||Canada
||Personnel
||Program Contact
||Rob Willmott (Mktg. Mgr.)
||","ON","","2009-05-18 17:46:34","2009-05-18 17:48:10","(905) 501-0090","Phone",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"The Canadian Coleman Company Ltd."
46,"2678","315 S. Hicks Rd.
Palatine, IL 60067
Fax: (847) 776-4340
Personnel
Program Contact
Jim Rosenbaum (Sls. Mgr.)
Phone: (847) 358-9500
Toll Free: (800) 323-7407","Palatine","60067","","315 S. Hicks Rd.
||Personnel
||Program Contact
||Jim Rosenbaum (Sls. Mgr.)
||","IL","","2009-05-18 17:46:34","2009-05-18 17:48:10","(847) 776-4340","Fax","(847) 358-9500","Phone","(800) 323-7407","Toll Free",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TEC Specialty Products"
47,"2689","43-06 58th St.
Woodside, NY 11377
Fax: (718) 899-5211
Personnel
Program Contact
Milton Crow (Adv.)
Phone: (718) 899-5115
 
Richard Rivex (Adv. & Mktg.)","Woodside","11377","","43-06 58th St.
||Personnel
||Program Contact
||Milton Crow (Adv.)
|| 
||Richard Rivex (Adv. & Mktg.)
||","NY","","2009-05-18 17:46:34","2009-05-18 17:48:10","(718) 899-5211","Fax","(718) 899-5115","Phone",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Telux Pioneer Inc."
48,"2650","211 Ontario St.
Frankfort, IL 60423
Fax: (815) 469-4575
Personnel
Program Contact
Craig Alliman (Mktg.)
Phone: (815) 469-9453","Frankfort","60423","","211 Ontario St.
||Personnel
||Program Contact
||Craig Alliman (Mktg.)
||","IL","","2009-05-18 17:46:34","2009-05-18 17:48:10","(815) 469-4575","Fax","(815) 469-9453","Phone",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Swanson Tool Co., Inc."
49,"2701","P.O. Box 9012
Oxnard, CA 93031-9012
Fax: (800) 526-1040
Personnel
Program Contact
Rick Horn
Toll Free: (800) 482-9367","Oxnard","93031-9012","","P.O. Box 9012
||Personnel
||Program Contact
||Rick Horn
||","CA","","2009-05-18 17:46:34","2009-05-18 17:48:10","(800) 526-1040","Fax","(800) 482-9367","Toll Free",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TFP Data Systems"
